train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=3, auc=0.939394, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.858586, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.959596, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.787879, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.969697, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.959596, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.969697, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.939394, ndcg=0.000000
train_epoch=1, train_step=4, auc=0.969697, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.393939, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.919192, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.979798, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.535354, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.676768, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.898990, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.949495, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=4, auc=0.575758, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=3, auc=0.929293, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.979798, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.989899, ndcg=0.000000
